Loaded 225256 records from compare/pre_reweight_snapshot.csv.gz
...reweighting for year 2021
...weight deviation penalty: 0.01
...gradient norm tolerance: 1e-05
...weight multiplier bounds: [0.1, 10.0]
...GPU available but disabled by user, using CPU
...pre-scaled weights: target filers=160,824,340, current filers=161,180,573, scale=0.997790
Targeting 550 SOI statistics
...input records: 225256, columns: 212
...input weights: total=183102955.22, mean=812.866051, sdev=733.258325
...initial loss: 30.1622806381
...using OSQP solver (ADMM-based QP, proper bounds)
...QP size: 225806 variables, 226356 constraints
...B matrix: 225256x550, 2,705,680 nonzeros (2.2% dense)
...A_osqp: (226356, 225806), 2,932,036 nonzeros
...OSQP initial loss: 30.1622806381
-----------------------------------------------------------------
           OSQP v1.0.0  -  Operator Splitting QP Solver
              (c) The OSQP Developer Team
-----------------------------------------------------------------
problem:  variables n = 225806, constraints m = 226356
          nnz(P) + nnz(A) = 3157842
settings: algebra = Built-in,
          OSQPInt = 4 bytes, OSQPFloat = 8 bytes,
          linear system solver = QDLDL v0.1.8,
          eps_abs = 1.0e-05, eps_rel = 1.0e-05,
          eps_prim_inf = 1.0e-04, eps_dual_inf = 1.0e-04,
          rho = 5.00e-04 (adaptive: 50 iterations),
          sigma = 1.00e-04, alpha = 1.60, max_iter = 50000
          check_termination: on (interval 25, duality gap: on),
          time_limit: 1.00e+10 sec,
          scaling: on (10 iterations), scaled_termination: off
          warm starting: on, polishing: on, 
iter   objective    prim res   dual res   gap        rel kkt    rho         time
8600  -1.9457e-01   2.90e-05   4.85e-07  -1.62e-03   2.90e-05   5.00e-04    4.43e+01s
8800  -1.9460e-01   1.26e-04   4.84e-07  -1.59e-03   1.26e-04   5.00e-04    4.53e+01s
9000  -1.9463e-01   7.05e-05   3.94e-07  -1.54e-03   7.05e-05   5.00e-04    4.63e+01s
9200  -1.9465e-01   3.16e-06   3.94e-07  -1.53e-03   3.16e-06   5.00e-04    4.73e+01s
9400  -1.9468e-01   7.19e-06   3.76e-07  -1.50e-03   7.19e-06   5.00e-04    4.83e+01s
9600  -1.9470e-01   5.00e-06   3.61e-07  -1.46e-03   5.00e-06   5.00e-04    4.94e+01s
9800  -1.9472e-01   5.02e-05   3.61e-07  -1.45e-03   5.02e-05   5.00e-04    5.04e+01s
10000  -1.9474e-01   1.65e-05   3.53e-07  -1.43e-03   1.65e-05   5.00e-04    5.14e+01s
10200  -1.9476e-01   2.40e-05   3.53e-07  -1.41e-03   2.40e-05   5.00e-04    5.24e+01s
10400  -1.9478e-01   3.28e-05   3.52e-07  -1.40e-03   3.28e-05   5.00e-04    5.34e+01s
10600  -1.9480e-01   4.40e-06   3.51e-07  -1.38e-03   4.40e-06   5.00e-04    5.44e+01s
10800  -1.9482e-01   1.86e-05   3.41e-07  -1.37e-03   1.86e-05   5.00e-04    5.54e+01s
11000  -1.9484e-01   9.08e-05   3.41e-07  -1.34e-03   9.08e-05   5.00e-04    5.65e+01s
11200  -1.9486e-01   4.53e-04   3.42e-07  -1.33e-03   4.53e-04   5.00e-04    5.75e+01s
11400  -1.9488e-01   4.23e-05   3.42e-07  -1.30e-03   4.23e-05   5.00e-04    5.86e+01s
11600  -1.9490e-01   4.82e-04   3.42e-07  -1.29e-03   4.82e-04   5.00e-04    5.96e+01s
11800  -1.9491e-01   3.22e-05   2.95e-07  -1.27e-03   3.22e-05   5.00e-04    6.06e+01s
12000  -1.9493e-01   1.74e-05   2.95e-07  -1.25e-03   1.74e-05   5.00e-04    6.16e+01s
12200  -1.9494e-01   3.15e-04   2.87e-07  -1.23e-03   3.15e-04   5.00e-04    6.27e+01s
12400  -1.9496e-01   2.14e-06   2.79e-07  -1.22e-03   2.14e-06   5.00e-04    6.37e+01s
12600  -1.9497e-01   4.31e-07   2.74e-07  -1.21e-03   4.31e-07   6.89e-05*   6.48e+01s
12650  -1.9499e-01   6.10e-04   2.70e-07  -1.21e-03   6.10e-04   3.60e-04*   6.51e+01s
