Loaded 225256 records from compare/pre_reweight_snapshot.csv.gz
...reweighting for year 2021
...weight deviation penalty: 0.01
...gradient norm tolerance: 1e-05
...weight multiplier bounds: [0.1, 10.0]
...GPU available but disabled by user, using CPU
...pre-scaled weights: target filers=160,824,340, current filers=161,180,573, scale=0.997790
Targeting 550 SOI statistics
...input records: 225256, columns: 212
...input weights: total=183102955.22, mean=812.866051, sdev=733.258325
...initial loss: 30.1622806381
...using OSQP solver (ADMM-based QP, proper bounds)
...QP size: 225806 variables, 226356 constraints
...B matrix: 225256x550, 2,705,680 nonzeros (2.2% dense)
...A_osqp: (226356, 225806), 2,932,036 nonzeros
...OSQP initial loss: 30.1622806381
-----------------------------------------------------------------
           OSQP v1.0.0  -  Operator Splitting QP Solver
              (c) The OSQP Developer Team
-----------------------------------------------------------------
problem:  variables n = 225806, constraints m = 226356
          nnz(P) + nnz(A) = 3157842
settings: algebra = Built-in,
          OSQPInt = 4 bytes, OSQPFloat = 8 bytes,
          linear system solver = QDLDL v0.1.8,
          eps_abs = 1.0e-05, eps_rel = 1.0e-05,
          eps_prim_inf = 1.0e-04, eps_dual_inf = 1.0e-04,
          rho = 1.00e-01 (adaptive: 50 iterations),
          sigma = 1.00e-06, alpha = 1.60, max_iter = 50000
          check_termination: on (interval 25, duality gap: on),
          time_limit: 1.00e+10 sec,
          scaling: on (10 iterations), scaled_termination: off
          warm starting: on, polishing: on, 
iter   objective    prim res   dual res   gap        rel kkt    rho         time
8200  -1.8985e-01   8.61e-04   2.74e-06  -7.41e-03   8.61e-04   2.46e-03    4.23e+01s
8400  -1.9004e-01   8.43e-05   2.72e-06  -7.20e-03   8.43e-05   2.46e-03    4.33e+01s
8600  -1.9021e-01   1.80e-05   2.49e-06  -7.02e-03   1.80e-05   2.46e-03    4.43e+01s
8800  -1.9037e-01   7.63e-05   2.42e-06  -6.83e-03   7.63e-05   2.46e-03    4.53e+01s
9000  -1.9052e-01   8.54e-04   2.32e-06  -6.62e-03   8.54e-04   2.46e-03    4.63e+01s
9200  -1.9067e-01   2.50e-04   2.29e-06  -6.44e-03   2.50e-04   2.46e-03    4.73e+01s
9400  -1.9080e-01   6.24e-05   2.11e-06  -6.15e-03   6.24e-05   2.46e-03    4.83e+01s
9600  -1.9092e-01   5.59e-04   2.10e-06  -5.99e-03   5.59e-04   2.46e-03    4.93e+01s
9800  -1.9103e-01   5.83e-05   2.09e-06  -5.77e-03   5.83e-05   2.46e-03    5.03e+01s
10000  -1.9114e-01   8.13e-05   1.86e-06  -5.62e-03   8.13e-05   2.46e-03    5.13e+01s
10200  -1.9124e-01   1.01e-04   1.86e-06  -5.51e-03   1.01e-04   2.46e-03    5.24e+01s
10400  -1.9134e-01   6.07e-05   1.85e-06  -5.34e-03   6.07e-05   2.46e-03    5.34e+01s
10600  -1.9143e-01   6.23e-05   1.76e-06  -5.21e-03   6.23e-05   2.46e-03    5.44e+01s
10800  -1.9152e-01   3.52e-05   1.65e-06  -5.09e-03   3.52e-05   2.46e-03    5.54e+01s
11000  -1.9160e-01   2.06e-04   1.64e-06  -4.98e-03   2.06e-04   2.46e-03    5.64e+01s
11200  -1.9168e-01   1.12e-04   1.64e-06  -4.89e-03   1.12e-04   2.46e-03    5.74e+01s
11400  -1.9175e-01   3.61e-05   1.63e-06  -4.81e-03   3.61e-05   2.46e-03    5.84e+01s
11600  -1.9183e-01   8.98e-05   1.63e-06  -4.73e-03   8.98e-05   2.46e-03    5.94e+01s
11800  -1.9190e-01   3.42e-05   1.51e-06  -4.65e-03   3.42e-05   2.46e-03    6.04e+01s
12000  -1.9197e-01   3.57e-05   1.51e-06  -4.56e-03   3.57e-05   2.46e-03    6.14e+01s
12200  -1.9203e-01   1.77e-05   1.50e-06  -4.50e-03   1.77e-05   2.46e-03    6.24e+01s
12400  -1.9210e-01   7.63e-06   1.50e-06  -4.38e-03   7.63e-06   2.46e-03    6.34e+01s
12600  -1.9216e-01   8.82e-05   1.44e-06  -4.22e-03   8.82e-05   2.46e-03    6.44e+01s
12800  -1.9222e-01   9.37e-05   1.34e-06  -4.11e-03   9.37e-05   2.46e-03    6.54e+01s
13000  -1.9227e-01   4.57e-05   1.33e-06  -4.04e-03   4.57e-05   2.46e-03    6.64e+01s
13200  -1.9232e-01   1.89e-05   1.33e-06  -3.93e-03   1.89e-05   2.46e-03    6.73e+01s
13400  -1.9237e-01   1.33e-05   1.32e-06  -3.86e-03   1.33e-05   2.46e-03    6.83e+01s
13600  -1.9242e-01   2.63e-04   1.32e-06  -3.80e-03   2.63e-04   2.46e-03    6.93e+01s
13800  -1.9247e-01   1.84e-05   1.31e-06  -3.74e-03   1.84e-05   2.46e-03    7.03e+01s
14000  -1.9252e-01   3.00e-05   1.31e-06  -3.70e-03   3.00e-05   2.46e-03    7.13e+01s
14200  -1.9256e-01   4.22e-05   1.18e-06  -3.63e-03   4.22e-05   2.46e-03    7.23e+01s
14400  -1.9261e-01   4.29e-05   1.18e-06  -3.56e-03   4.29e-05   2.46e-03    7.34e+01s
14600  -1.9265e-01   2.61e-04   1.17e-06  -3.52e-03   2.61e-04   2.46e-03    7.44e+01s
14800  -1.9269e-01   2.76e-05   1.17e-06  -3.45e-03   2.76e-05   2.46e-03    7.54e+01s
15000  -1.9273e-01   2.58e-04   1.17e-06  -3.39e-03   2.58e-04   2.46e-03    7.64e+01s
15050  -1.9274e-01   1.92e-06   1.17e-06  -3.39e-03   1.92e-06   3.46e-04*   7.66e+01s
15150  -1.9287e-01   2.94e-03   1.05e-06  -3.25e-03   2.94e-03   2.01e-03*   7.72e+01s
15200  -1.9288e-01   1.17e-04   1.05e-06  -3.22e-03   1.17e-04   2.01e-03    7.75e+01s
15400  -1.9293e-01   7.76e-05   1.05e-06  -3.19e-03   7.76e-05   2.01e-03    7.86e+01s
15600  -1.9297e-01   3.32e-05   1.05e-06  -3.14e-03   3.32e-05   2.01e-03    7.96e+01s
15800  -1.9301e-01   8.95e-05   1.05e-06  -3.10e-03   8.95e-05   2.01e-03    8.06e+01s
16000  -1.9305e-01   2.56e-05   1.05e-06  -3.06e-03   2.56e-05   2.01e-03    8.16e+01s
16200  -1.9308e-01   2.77e-05   1.04e-06  -3.02e-03   2.77e-05   2.01e-03    8.26e+01s
16300  -1.9310e-01   1.72e-06   1.04e-06  -2.99e-03   1.72e-06   2.86e-04*   8.31e+01s
16350  -1.9316e-01   2.86e-03   9.70e-07  -2.89e-03   2.86e-03   1.71e-03*   8.34e+01s
16400  -1.9317e-01   1.02e-04   9.68e-07  -2.89e-03   1.02e-04   1.71e-03    8.38e+01s
16600  -1.9321e-01   5.62e-05   9.62e-07  -2.86e-03   5.62e-05   1.71e-03    8.48e+01s
